72 	 # Number of sensors 
# x z 
0.00 0.00 
2.89 0.79 
5.83 1.39 
8.82 1.72 
11.80 1.44 
14.77 1.87 
17.76 2.10 
20.74 2.45 
23.71 2.90 
26.67 3.37 
29.66 3.57 
32.66 3.70 
35.66 3.88 
38.66 3.97 
41.65 4.11 
44.65 4.25 
47.64 4.03 
50.64 4.07 
53.64 4.11 
56.63 4.38 
59.62 4.59 
62.58 5.09 
65.40 6.10 
68.15 7.30 
71.02 8.19 
73.87 9.12 
76.73 10.04 
79.54 11.08 
82.43 11.87 
84.81 13.70 
87.71 14.47 
90.60 15.27 
93.33 16.51 
96.13 17.58 
98.95 18.62 
101.79 19.58 
104.59 20.67 
107.40 21.71 
110.20 22.79 
113.03 23.79 
115.88 24.72 
118.67 25.83 
121.47 26.91 
124.23 28.07 
126.99 29.25 
129.69 30.56 
132.37 31.91 
135.14 33.07 
138.07 33.72 
140.80 34.96 
143.59 36.05 
146.36 37.21 
149.11 38.41 
151.88 39.56 
154.68 40.64 
157.50 41.66 
160.37 42.53 
163.26 43.34 
164.68 45.98 
167.60 46.68 
170.51 47.38 
173.47 47.90 
176.44 48.32 
179.42 48.65 
182.40 49.02 
185.39 49.29 
188.38 49.50 
191.38 49.63 
194.37 49.78 
197.34 50.21 
200.33 50.46 
203.31 50.80 
636 	 # Number of measurements 
# a b m n rhoa err
21 24 22 23 101631.16  0.01
22 46 30 38 41365.17  0.01
22 43 29 36 40658.39  0.01
22 40 28 34 44140.84  0.01
22 37 27 32 47859.66  0.01
22 34 26 30 44410.87  0.01
22 31 25 28 51703.83  0.01
22 28 24 26 59901.54  0.01
22 25 23 24 74812.86  0.01
23 47 31 39 45374.33  0.01
23 44 30 37 44428.40  0.01
23 41 29 35 44668.21  0.01
23 38 28 33 50094.34  0.01
23 35 27 31 50728.28  0.01
23 32 26 29 52503.08  0.01
23 29 25 27 60366.84  0.01
23 26 24 25 74214.99  0.01
24 48 32 40 44650.20  0.01
24 45 31 38 45212.70  0.01
24 42 30 36 45427.46  0.01
24 39 29 34 47100.12  0.01
24 36 28 32 50142.07  0.01
24 33 27 30 51221.66  0.01
24 30 26 28 56297.76  0.01
24 27 25 26 83810.34  0.01
25 46 32 39 45000.24  0.01
25 43 31 37 45158.33  0.01
25 40 30 35 45965.73  0.01
25 37 29 33 46280.21  0.01
25 34 28 31 46454.22  0.01
25 31 27 29 58950.61  0.01
25 28 26 27 60628.54  0.01
26 47 33 40 46154.07  0.01
26 44 32 38 44015.52  0.01
26 41 31 36 45249.03  0.01
26 38 30 34 45707.11  0.01
26 35 29 32 45661.47  0.01
26 32 28 30 50420.31  0.01
26 29 27 28 65243.16  0.01
27 48 34 41 47130.32  0.01
27 45 33 39 44233.43  0.01
27 42 32 37 43078.12  0.01
27 39 31 35 44488.71  0.01
27 36 30 33 43058.71  0.01
27 33 29 31 44021.52  0.01
27 30 28 29 65580.47  0.01
28 46 34 40 46089.29  0.01
28 43 33 38 43918.04  0.01
28 40 32 36 44377.70  0.01
28 37 31 34 44646.30  0.01
28 34 30 32 49786.14  0.01
28 31 29 30 61468.30  0.01
29 47 35 41 49584.38  0.01
29 44 34 39 45350.77  0.01
29 41 33 37 44324.96  0.01
29 38 32 35 43280.12  0.01
29 35 31 33 50990.43  0.01
29 32 30 31 63876.39  0.01
30 48 36 42 50794.95  0.01
30 45 35 40 46467.55  0.01
30 42 34 38 45019.87  0.01
30 39 33 36 45883.21  0.01
30 36 32 34 44736.19  0.01
30 33 31 32 77537.35  0.01
31 46 36 41 50016.64  0.01
31 43 35 39 47016.07  0.01
31 40 34 37 47901.29  0.01
31 37 33 35 46716.80  0.01
31 34 32 33 59695.52  0.01
32 47 37 42 55026.72  0.01
32 44 36 40 49015.70  0.01
32 41 35 38 49208.39  0.01
32 38 34 36 51762.05  0.01
32 35 33 34 70564.65  0.01
33 48 38 43 56779.44  0.01
33 45 37 41 51494.68  0.01
33 42 36 39 48762.74  0.01
33 39 35 37 52293.95  0.01
33 36 34 35 56101.12  0.01
34 46 38 42 54655.34  0.01
34 43 37 40 49575.91  0.01
34 40 36 38 51902.76  0.01
34 37 35 36 61300.44  0.01
35 47 39 43 58505.54  0.01
35 44 38 41 52215.18  0.01
35 41 37 39 50976.45  0.01
35 38 36 37 53224.08  0.01
36 48 40 44 60293.51  0.01
36 45 39 42 54931.73  0.01
36 42 38 40 51997.89  0.01
36 39 37 38 54092.98  0.01
37 46 40 43 58836.54  0.01
37 43 39 41 54615.36  0.01
37 40 38 39 63427.91  0.01
38 47 41 44 57507.22  0.01
38 44 40 42 57030.97  0.01
38 41 39 40 52770.08  0.01
39 48 42 45 56873.71  0.01
39 45 41 43 52188.27  0.01
39 42 40 41 64595.40  0.01
40 46 42 44 51379.22  0.01
40 43 41 42 55098.40  0.01
41 47 43 45 53309.05  0.01
41 44 42 43 53353.70  0.01
42 48 44 46 49893.86  0.01
42 45 43 44 48348.08  0.01
43 46 44 45 50164.11  0.01
44 47 45 46 44050.45  0.01
45 48 46 47 39702.85  0.01
25 70 40 55 18593.40  0.01
25 67 39 53 21252.34  0.01
25 64 38 51 26516.21  0.01
25 61 37 49 31809.62  0.01
25 58 36 47 37731.71  0.01
25 55 35 45 45176.97  0.01
25 52 34 43 48042.06  0.01
25 49 33 41 46798.68  0.01
26 71 41 56 18089.78  0.01
26 68 40 54 21103.28  0.01
26 65 39 52 24798.50  0.01
26 62 38 50 30314.28  0.01
26 59 37 48 37784.71  0.01
26 56 36 46 43962.34  0.01
26 53 35 44 49717.54  0.01
26 50 34 42 49169.30  0.01
27 72 42 57 17303.27  0.01
27 69 41 55 20335.79  0.01
27 66 40 53 23149.11  0.01
27 63 39 51 29034.48  0.01
27 60 38 49 35594.19  0.01
27 57 37 47 42020.98  0.01
27 54 36 45 48555.89  0.01
27 51 35 43 50495.98  0.01
28 70 42 56 20007.69  0.01
28 67 41 54 23079.74  0.01
28 64 40 52 28304.02  0.01
28 61 39 50 33225.11  0.01
28 58 38 48 40638.01  0.01
28 55 37 46 48107.36  0.01
28 52 36 44 51760.44  0.01
28 49 35 42 50340.93  0.01
29 71 43 57 19615.52  0.01
29 68 42 55 22504.94  0.01
29 65 41 53 26215.40  0.01
29 62 40 51 32862.75  0.01
29 59 39 49 39464.23  0.01
29 56 38 47 46130.39  0.01
29 53 37 45 53308.69  0.01
29 50 36 43 53390.92  0.01
30 72 44 58 19142.34  0.01
30 69 43 56 22367.21  0.01
30 66 42 54 25570.03  0.01
30 63 41 52 30922.03  0.01
30 60 40 50 37482.43  0.01
30 57 39 48 45452.48  0.01
30 54 38 46 51555.60  0.01
30 51 37 44 53936.21  0.01
31 70 44 57 22349.63  0.01
31 67 43 55 25587.12  0.01
31 64 42 53 30814.78  0.01
31 61 41 51 36471.92  0.01
31 58 40 49 43071.86  0.01
31 55 39 47 50965.23  0.01
31 52 38 45 55861.00  0.01
31 49 37 43 54909.36  0.01
32 71 45 58 23041.22  0.01
32 68 44 56 26177.79  0.01
32 65 43 54 30889.61  0.01
32 62 42 52 36683.04  0.01
32 59 41 50 42485.50  0.01
32 56 40 48 51525.16  0.01
32 53 39 46 58280.01  0.01
32 50 38 44 58853.71  0.01
33 72 46 59 22953.61  0.01
33 69 45 57 26455.50  0.01
33 66 44 55 29817.78  0.01
33 63 43 53 35333.03  0.01
33 60 42 51 42742.46  0.01
33 57 41 49 48820.89  0.01
33 54 40 47 56011.12  0.01
33 51 39 45 59690.97  0.01
34 70 46 58 27075.95  0.01
34 67 45 56 30306.65  0.01
34 64 44 54 36770.75  0.01
34 61 43 52 41193.15  0.01
34 58 42 50 46417.33  0.01
34 55 41 48 55787.18  0.01
34 52 40 46 60524.74  0.01
34 49 39 44 59727.25  0.01
35 71 47 59 27545.13  0.01
35 68 46 57 30920.97  0.01
35 65 45 55 35471.45  0.01
35 62 44 53 41168.21  0.01
35 59 43 51 47765.45  0.01
35 56 42 49 53727.99  0.01
35 53 41 47 59781.35  0.01
35 50 40 45 62684.06  0.01
36 72 48 60 28081.45  0.01
36 69 47 58 32790.53  0.01
36 66 46 56 36158.99  0.01
36 63 45 54 42485.00  0.01
36 60 44 52 48339.11  0.01
36 57 43 50 52449.22  0.01
36 54 42 48 60291.61  0.01
36 51 41 46 61727.60  0.01
37 70 48 59 33134.89  0.01
37 67 47 57 37747.06  0.01
37 64 46 55 44193.04  0.01
37 61 45 53 47590.15  0.01
37 58 44 51 53213.10  0.01
37 55 43 49 58973.86  0.01
37 52 42 47 61832.97  0.01
37 49 41 45 61443.95  0.01
38 71 49 60 34645.21  0.01
38 68 48 58 38528.74  0.01
38 65 47 56 44162.63  0.01
38 62 46 54 50803.77  0.01
38 59 45 52 54200.64  0.01
38 56 44 50 57009.30  0.01
38 53 43 48 63639.91  0.01
38 50 42 46 62487.75  0.01
39 72 50 61 36239.71  0.01
39 69 49 59 39761.94  0.01
39 66 48 57 43601.61  0.01
39 63 47 55 50818.71  0.01
39 60 46 53 55361.94  0.01
39 57 45 51 58588.52  0.01
39 54 44 49 60827.95  0.01
39 51 43 47 59810.36  0.01
