RB2_W3m_ab_raw.bin
         3.00
11
1
Type of measurement (0=app. resistivity,1=resistance)
1
636
 2
0
4  42.00  0.00 114.00  0.00 66.00  0.00 90.00  0.00 196.53423 
4  42.00  0.00 105.00  0.00 63.00  0.00 84.00  0.00 275.44423 
4  42.00  0.00 96.00  0.00 60.00  0.00 78.00  0.00 385.18302 
4  42.00  0.00 87.00  0.00 57.00  0.00 72.00  0.00 612.01281 
4  42.00  0.00 78.00  0.00 54.00  0.00 66.00  0.00 1060.13607 
4  42.00  0.00 69.00  0.00 51.00  0.00 60.00  0.00 1505.84008 
4  42.00  0.00 60.00  0.00 48.00  0.00 54.00  0.00 2821.14850 
4  42.00  0.00 51.00  0.00 45.00  0.00 48.00  0.00 5659.25006 
4  45.00  0.00 135.00  0.00 75.00  0.00 105.00  0.00 151.03740 
4  45.00  0.00 126.00  0.00 72.00  0.00 99.00  0.00 166.26891 
4  45.00  0.00 117.00  0.00 69.00  0.00 93.00  0.00 205.30119 
4  45.00  0.00 108.00  0.00 66.00  0.00 87.00  0.00 242.29746 
4  45.00  0.00 99.00  0.00 63.00  0.00 81.00  0.00 355.40953 
4  45.00  0.00 90.00  0.00 60.00  0.00 75.00  0.00 575.18933 
4  45.00  0.00 81.00  0.00 57.00  0.00 69.00  0.00 981.78122 
4  45.00  0.00 72.00  0.00 54.00  0.00 63.00  0.00 1585.31668 
4  45.00  0.00 63.00  0.00 51.00  0.00 57.00  0.00 2811.85066 
4  45.00  0.00 54.00  0.00 48.00  0.00 51.00  0.00 5998.86973 
4  48.00  0.00 138.00  0.00 78.00  0.00 108.00  0.00 163.34981 
4  48.00  0.00 129.00  0.00 75.00  0.00 102.00  0.00 169.81312 
4  48.00  0.00 120.00  0.00 72.00  0.00 96.00  0.00 203.11043 
4  48.00  0.00 111.00  0.00 69.00  0.00 90.00  0.00 245.26873 
4  48.00  0.00 102.00  0.00 66.00  0.00 84.00  0.00 309.69657 
4  48.00  0.00 93.00  0.00 63.00  0.00 78.00  0.00 486.36020 
4  48.00  0.00 84.00  0.00 60.00  0.00 72.00  0.00 864.49657 
4  48.00  0.00 75.00  0.00 57.00  0.00 66.00  0.00 1568.96054 
4  48.00  0.00 66.00  0.00 54.00  0.00 60.00  0.00 2496.45772 
4  48.00  0.00 57.00  0.00 51.00  0.00 54.00  0.00 5684.46912 
4  51.00  0.00 141.00  0.00 81.00  0.00 111.00  0.00 170.64680 
4  51.00  0.00 132.00  0.00 78.00  0.00 105.00  0.00 185.02171 
4  51.00  0.00 123.00  0.00 75.00  0.00 99.00  0.00 206.41459 
4  51.00  0.00 114.00  0.00 72.00  0.00 93.00  0.00 263.30051 
4  51.00  0.00 105.00  0.00 69.00  0.00 87.00  0.00 308.35877 
4  51.00  0.00 96.00  0.00 66.00  0.00 81.00  0.00 407.91418 
4  51.00  0.00 87.00  0.00 63.00  0.00 75.00  0.00 763.10745 
4  51.00  0.00 78.00  0.00 60.00  0.00 69.00  0.00 1488.33459 
4  51.00  0.00 69.00  0.00 57.00  0.00 63.00  0.00 2444.52937 
4  51.00  0.00 60.00  0.00 54.00  0.00 57.00  0.00 6056.92542 
4  54.00  0.00 135.00  0.00 81.00  0.00 108.00  0.00 198.86542 
4  54.00  0.00 126.00  0.00 78.00  0.00 102.00  0.00 219.46536 
4  54.00  0.00 117.00  0.00 75.00  0.00 96.00  0.00 266.75874 
4  54.00  0.00 108.00  0.00 72.00  0.00 90.00  0.00 324.07519 
4  54.00  0.00 99.00  0.00 69.00  0.00 84.00  0.00 409.70528 
4  54.00  0.00 90.00  0.00 66.00  0.00 78.00  0.00 589.39157 
4  54.00  0.00 81.00  0.00 63.00  0.00 72.00  0.00 1242.53785 
4  54.00  0.00 72.00  0.00 60.00  0.00 66.00  0.00 2671.90964 
4  54.00  0.00 63.00  0.00 57.00  0.00 60.00  0.00 5437.08650 
4  57.00  0.00 138.00  0.00 84.00  0.00 111.00  0.00 213.68832 
4  57.00  0.00 129.00  0.00 81.00  0.00 105.00  0.00 236.39588 
4  57.00  0.00 120.00  0.00 78.00  0.00 99.00  0.00 280.95549 
4  57.00  0.00 111.00  0.00 75.00  0.00 93.00  0.00 351.34376 
